200	3	14
1	0.03	0.01
1	1	1	6	5	7	B
2	1	1	20	8	4	C
3	2	2	7	3	4	D
4	1	2	2	4	7	A
5	0	3	12	7	2	A
6	1	4	10	4	3	A
7	0	4	20	8	4	A
8	0	4	7	4	2	C
9	0	4	7	6	2	C
10	1	5	3	3	2	A
11	1	5	11	8	7	B
12	1	5	16	7	5	D
13	1	5	1	6	6	A
14	2	6	9	4	4	D
15	1	6	12	6	7	B
16	1	7	15	3	3	B
17	0	8	3	3	2	A
18	0	8	21	4	5	C
19	0	8	4	5	6	A
20	1	8	6	3	4	C
21	1	8	17	3	4	C
22	1	8	6	4	3	B
23	0	8	15	6	2	B
24	1	8	4	4	3	A
25	1	9	10	2	3	B
26	2	10	4	6	7	A
27	1	10	2	4	2	D
28	1	10	1	6	5	D
29	0	10	9	8	7	B
30	2	10	3	3	7	D
31	2	11	1	3	7	D
32	2	12	20	3	4	A
33	1	12	5	2	4	B
34	2	12	18	5	5	A
35	2	12	9	7	4	C
36	2	13	21	4	4	B
37	0	13	21	5	2	B
38	2	13	8	2	6	C
39	1	13	13	6	2	C
40	0	13	2	3	5	C
41	0	13	10	6	5	D
42	0	14	13	6	3	C
43	2	15	5	7	2	A
44	1	15	18	8	4	A
45	0	15	20	7	4	D
46	2	16	19	2	3	A
47	0	16	19	6	4	B
48	0	16	6	7	3	C
49	2	17	9	7	5	C
50	1	17	14	8	6	A
51	1	18	7	8	4	D
52	1	18	12	5	5	C
53	1	19	10	7	7	A
54	0	20	15	7	7	D
55	1	21	9	4	2	D
56	0	21	10	2	2	D
57	2	22	16	2	7	A
58	1	22	7	8	6	C
59	0	23	15	5	3	C
60	2	24	10	8	7	C
61	0	25	8	4	2	D
62	2	26	2	2	2	A
63	2	27	2	7	5	C
64	1	28	2	4	3	D
65	2	28	15	5	5	B
66	2	28	18	3	3	D
67	1	28	6	5	2	B
68	2	29	21	4	2	A
69	1	29	8	3	5	B
70	2	30	2	8	7	B
71	1	31	16	2	2	D
72	1	31	13	8	2	D
73	1	31	9	3	5	D
74	2	32	5	8	6	B
75	0	33	4	2	2	C
76	2	33	6	7	6	C
77	1	34	15	7	2	D
78	0	35	6	5	6	B
79	0	36	18	6	6	D
80	1	37	17	4	3	A
81	1	38	8	6	3	D
82	1	38	4	8	3	A
83	2	39	16	5	7	B
84	2	40	15	3	2	D
85	0	40	8	2	4	C
86	2	40	2	3	2	A
87	1	40	15	6	4	D
88	0	41	5	8	7	C
89	2	41	17	8	3	C
90	0	41	13	2	2	C
91	2	42	15	8	3	A
92	0	42	10	6	6	D
93	0	43	16	5	6	D
94	2	43	5	7	6	D
95	2	44	11	6	3	B
96	2	45	6	4	6	A
97	1	45	18	5	2	D
98	0	45	13	8	3	D
99	1	46	10	7	2	C
100	0	47	13	4	7	A
-1
